,latitude,longitude
33295049,44.9251429,-93.265072
33295062,44.9805127,-93.3585497
33295067,44.9808931,-93.3581198
33295073,44.925143,-93.266334
33295086,44.923332,-93.265099
33295092,44.990086,-93.35508
33295095,44.923332,-93.266357
33295097,44.923336,-93.267616
33295121,44.9748235,-93.2610554
33295130,45.0036706,-93.3803224
33295140,44.852997,-93.336754
33295141,44.8191083,-93.2909509
33295144,44.8191048,-93.289899
33295145,44.908876,-93.4652175
33295148,44.851696,-93.337273
33295231,44.9983193,-93.4028211
33295236,44.854053,-93.334908
33295253,44.853546,-93.334625
33295256,44.848469,-93.334918
33295274,44.851696,-93.335434
33295276,45.002941,-93.334335
33295305,44.8549084,-93.3345818
33295354,44.872223,-93.458916
33295379,44.871548,-93.458115
33295381,44.871433,-93.458229
33295396,44.9560868,-93.319251
33295400,44.871971,-93.458397
33295409,44.9007028,-93.3761712
33295414,44.9534575,-93.3193317
33295426,44.872215,-93.457909
33295431,45.0037351,-93.2993218
33295432,44.953987,-93.3189136
33295435,45.0026237,-93.2989638
33295442,44.898224,-93.370384
33295443,44.898228,-93.370987
33295444,44.873173,-93.456551
33295453,44.874298,-93.456703
33295472,44.85149,-93.249184
33295489,44.897152,-93.370392
33295494,44.851488,-93.251713
33295497,44.851488,-93.25045
33295500,44.8748101,-93.4528028
33295503,44.837132,-93.255501
33295506,44.840752,-93.255531
33295508,44.937786,-93.353051
33295522,44.837129,-93.256783
33295523,44.840748,-93.256798
33295527,44.8982379,-93.3679473
33295535,44.84795,-93.252983
33295546,44.901257,-93.381345
33295547,44.901096,-93.381351
33295550,44.84795,-93.255524
33295551,44.8533807,-93.2491868
33295552,44.8533803,-93.250457
33295561,44.84795,-93.250435
33295566,44.9279228,-93.4085539
33295571,44.9854164,-93.3748001
33295572,44.985428,-93.3771633
33295573,44.892369,-93.355858
33295579,44.9279375,-93.4098819
33295590,44.8655274,-93.2491843
33295598,44.8799225,-93.3821874
33295599,44.846153,-93.252983
33295600,44.89703,-93.3679445
33295607,44.84795,-93.251709
33295609,44.8972212,-93.3679437
33295613,44.8236648,-93.4088775
33295614,44.824467,-93.408859
33295615,44.889243,-93.363672
33295616,44.889165,-93.363939
33295623,44.874947,-93.376923
33295624,44.87508,-93.376678
33295626,44.844355,-93.252978
33295630,44.98185,-93.373222
33295635,44.981869,-93.377159
33295638,44.9296975,-93.40717
33295640,44.878635,-93.47271
33295641,44.8200578,-93.4088195
33295642,44.898087,-93.341682
33295643,44.969322,-93.405563
33295644,44.8211151,-93.4088281
33295645,44.8884906,-93.3688306
33295647,44.889675,-93.36882
33295649,44.968536,-93.408958
33295650,44.968647,-93.408386
33295655,44.9865002,-93.4185642
33295656,44.8191655,-93.4088366
33295657,45.001835,-93.37529
33295667,44.865429,-93.472893
33295668,44.865734,-93.473381
33295669,44.930416,-93.407127
33295670,44.930836,-93.4084472
33295671,44.970592,-93.405563
33295672,44.970596,-93.408318
33295673,44.8785445,-93.3530327
33295674,44.878658,-93.353027
33295675,44.929713,-93.40847
33295688,44.891747,-93.344223
33295691,44.891651,-93.344223
33295701,44.9032455,-93.3537362
33295709,45.0,-93.37529
33295711,44.9253162,-93.3483598
33295712,44.9567446,-93.2110212
33295715,44.9570114,-93.2101825
33295717,44.9234022,-93.2101905
33295718,44.9023976,-93.3503393
33295720,44.9032361,-93.350341
33295724,44.902443,-93.354332
33295730,44.968288,-93.405563
33295731,44.9396811,-93.4078328
33295734,45.001839,-93.376686
33295736,44.9396429,-93.4057551
33295739,45.003757,-93.37529
33295740,44.940002,-93.405762
33295745,44.939106,-93.405746
33295767,44.914379,-93.491623
33295776,44.9234327,-93.2076545
33295782,44.9273339,-93.3457295
33295788,44.925302,-93.346993
33295790,44.927231,-93.347009
33295800,44.9216007,-93.2089292
33295803,44.956342,-93.2092959
33295814,44.913086,-93.488754
33295818,44.9215884,-93.2102119
33295823,44.9224299,-93.3496984
33295834,44.9164274,-93.4456078
33295835,44.9270508,-93.2045197
33295848,44.989596,-93.2648616
33295849,44.9900376,-93.2638319
33295854,44.9270543,-93.2076528
33295855,44.927054,-93.2055107
33295860,44.855434,-93.385956
33295868,45.0043997,-93.3210034
33295872,44.909679,-93.49206
33295878,44.910858,-93.492516
33295882,44.9197775,-93.2076531
33295886,44.9252989,-93.345676
33295897,44.8542527,-93.3855904
33295900,44.915943,-93.293388
33295901,44.9177631,-93.2934225
33295915,44.975628,-93.30481
33295921,44.8293085,-93.4200961
33295923,44.9753733,-93.3058028
33295925,44.828965,-93.4199162
33295934,44.907112,-93.491661
33295948,44.9139766,-93.4452561
33295955,44.8174675,-93.2627249
33295970,44.818802,-93.263344
33295974,44.915947,-93.294662
33295995,44.829185,-93.352394
33296004,44.853902,-93.383958
33296007,44.9790004,-93.3032773
33296008,44.977131,-93.303261
33296009,44.9238484,-93.3604253
33296010,44.9238792,-93.359314
33296011,44.917753,-93.292122
33296023,44.882523,-93.352539
33296029,44.914139,-93.293373
33296034,44.8542768,-93.4203644
33296037,44.9260563,-93.3579974
33296041,44.9260708,-93.3592782
33296051,44.914143,-93.294647
33296080,44.918396,-93.331635
33296086,44.9231984,-93.2921322
33296088,44.853931,-93.418686
33296094,44.8540608,-93.4192222
33296117,44.844341,-93.260651
33296126,44.92501,-93.2908504
33296140,44.84074,-93.2608101
33296144,44.8522056,-93.4218262
33296145,44.9268273,-93.2921089
33296147,44.9250123,-93.2921146
33296157,44.8535156,-93.4207844
33296174,44.845245,-93.258064
33296176,44.8893914,-93.3575375
33296179,44.847027,-93.255524
33296181,44.9268186,-93.290837
33296197,44.8497748,-93.4692741
33296201,44.8892147,-93.3583395
33296204,44.8497726,-93.4707887
33296208,44.852066,-93.464119
33296211,44.923622,-93.4627
33296247,44.8520153,-93.4652364
33296282,44.8502818,-93.4708811
33296289,44.849701,-93.416771
33296303,44.883945,-93.396034
33296316,44.865486,-93.488884
33296317,44.844585,-93.4789437
33296319,44.8844338,-93.3970893
33296332,44.853535,-93.464279
33296339,44.8196498,-93.2987234
33296340,44.8218871,-93.298743
33296341,44.899841,-93.323914
33296345,44.9879117,-93.2190254
33296346,44.9632066,-93.3081384
33296348,44.899908,-93.322762
33296352,44.901649,-93.322639
33296356,44.9897053,-93.2202836
33296357,44.9897208,-93.2190027
33296370,44.9280136,-93.423874
33296372,44.963753,-93.25396
33296373,44.929799,-93.423816
33296376,44.819054,-93.297432
33296377,44.9897366,-93.2177253
33296389,44.9615162,-93.3100183
33296390,44.991543,-93.21769
33296391,44.8190569,-93.2987195
33296392,44.9616442,-93.3083988
33296397,44.9915309,-93.2189785
33296403,44.931562,-93.419869
33296422,44.9599946,-93.3097616
33296428,44.9595634,-93.3097294
33296433,44.9997499,-93.4298144
33296435,44.9602935,-93.3102993
33296439,44.9650371,-93.3074737
33296452,44.8998586,-93.3251861
33296458,44.901657,-93.323914
33296465,44.9994198,-93.4299998
33296490,45.000217,-93.400566
33296491,45.0002162,-93.3993841
33296492,44.92981,-93.422485
33296493,44.9280157,-93.4225539
33296495,44.822678,-93.29464
33296496,44.8257612,-93.2946983
33296506,44.8699898,-93.2210368
33296526,44.822678,-93.295929
33296527,44.822678,-93.294914
33296529,44.8663861,-93.2227942
33296532,44.9879408,-93.2164748
33296538,44.819054,-93.296165
33296541,44.9897564,-93.2164482
33296546,44.9841517,-93.4241871
33296547,44.819054,-93.294907
33296549,44.9839094,-93.4233617
33296550,44.9617697,-93.3071245
33296551,44.818604,-93.298714
33296552,44.991558,-93.216423
33296559,44.9587028,-93.3059487
33296578,44.805437,-93.3818946
33296581,44.8698154,-93.2203212
33296582,44.9262001,-93.4240136
33296585,44.9983951,-93.3993581
33296588,44.8055424,-93.3840665
33296589,44.9879271,-93.2177506
33296606,44.906223,-93.471306
33296615,44.913471,-93.389832
33296616,44.9716238,-93.3821157
33296637,44.8667041,-93.4135452
33296646,44.8690246,-93.2179437
33296651,44.8693227,-93.2184748
33296680,44.8844106,-93.3954531
33296685,44.8723543,-93.2201796
33296688,44.872539,-93.2210004
33296692,44.8405467,-93.2447037
33296694,44.929821,-93.421181
33296701,44.9280179,-93.4212339
33296711,44.929813,-93.419922
33296714,44.8724447,-93.2152401
33296715,44.8041087,-93.382836
33296716,44.8733997,-93.2141672
33296722,44.804716,-93.3835687
33296748,44.990589,-93.248146
33296758,44.917864,-93.2229599
33296771,44.8364743,-93.2410018
33296772,44.9911604,-93.2495707
33296773,44.9164239,-93.2256698
33296774,44.9907276,-93.2484907
33296777,44.904446,-93.389442
33296824,44.908966,-93.391388
33296839,44.9196781,-93.2243226
33296841,44.9179447,-93.2243337
33296847,44.9196858,-93.2229421
33296855,44.9531684,-93.3644914
33296858,44.903393,-93.314598
33296861,44.903393,-93.315002
33296862,44.908836,-93.467804
33296864,44.989716,-93.306984
33296876,44.904266,-93.311562
33296877,44.904297,-93.31459
33296883,44.9567516,-93.3632561
33296892,44.910339,-93.472229
33296896,44.8623097,-93.3238616
33296897,44.8618888,-93.3238709
33296900,44.910435,-93.467812
33296901,44.9500543,-93.3008197
33296907,44.9915077,-93.3069832
33296911,44.9531646,-93.3657615
33296914,44.946564,-93.23893
33296917,44.9932972,-93.2422308
33296918,44.9915045,-93.3082345
33296919,44.9897191,-93.3082529
33296930,44.954948,-93.36454
33296933,44.954938,-93.365794
33296938,44.956722,-93.365828
33296945,44.9567452,-93.3645442
33296949,44.9129602,-93.467846
33296957,44.9134768,-93.465191
33296972,44.914408,-93.225688
33296975,44.9160537,-93.2256836
33296986,44.9015721,-93.3124789
33296997,45.0001317,-93.3207704
33297003,44.9042405,-93.4510663
33297004,44.921391,-93.443665
33297005,44.921803,-93.44429
33297014,44.9304433,-93.2882721
33297020,44.9286275,-93.2882852
33297027,44.9015866,-93.3137436
33297056,44.942951,-93.235886
33297065,44.903439,-93.320107
33297071,44.9033695,-93.3124357
33297085,44.9016001,-93.3150114
33297087,44.9915083,-93.3057302
33297091,44.903385,-93.313721
33297094,44.927666,-93.443871
33297095,44.92153,-93.326555
33297096,44.9215284,-93.3260594
33297097,44.921529,-93.325504
33297098,44.9878985,-93.3082716
33297099,44.9447605,-93.2372416
33297100,44.910042,-93.465912
33297109,44.927634,-93.445166
33297113,44.976849,-93.442955
33297115,44.975002,-93.443016
33297116,44.86731,-93.255459
33297122,44.869118,-93.254204
33297123,44.867311,-93.254214
33297134,44.8996577,-93.3880719
33297138,44.9018108,-93.3862958
33297141,44.901665,-93.38723
33297153,44.86552,-93.254224
33297156,44.869118,-93.252937
33297157,44.8958164,-93.3864857
33297178,44.963963,-93.364662
33297185,44.963963,-93.364578
33297189,44.869118,-93.251678
33297212,44.899665,-93.28447
33297227,44.867313,-93.252945
33297228,44.972958,-93.442482
33297237,44.974079,-93.442436
33297238,44.960684,-93.3319067
33297254,44.961154,-93.3347245
33297256,44.960205,-93.334602
33297281,44.8425963,-93.3744607
33297322,44.8750095,-93.4876633
33297327,44.961533,-93.331146
33297332,44.8747003,-93.4906402
33297335,44.962475,-93.330193
33297348,44.9631605,-93.3326743
33297383,44.9057372,-93.2812269
33297399,44.924351,-93.417786
33297403,45.0041948,-93.264634
33297404,44.924355,-93.416512
33297406,44.9084294,-93.2754824
33297408,44.943177,-93.261334
33297409,44.9431808,-93.2626264
33297422,44.943176,-93.260056
33297430,44.9395677,-93.2625724
33297431,44.894501,-93.254158
33297432,44.894688,-93.253754
33297433,44.903634,-93.27552
33297435,44.9037951,-93.2768166
33297436,44.9681582,-93.2090311
33297437,44.9681811,-93.2101217
33297441,44.9413822,-93.2625955
33297442,44.94137,-93.263839
33297443,44.9051827,-93.2767462
33297448,44.9653149,-93.2219088
33297449,44.939567,-93.2613218
33297455,44.963967,-93.3422273
33297456,44.9413715,-93.2613361
33297457,44.964005,-93.341194
33297459,44.9662151,-93.2218309
33297465,44.9624579,-93.3432503
33297468,44.93955,-93.272754
33297469,44.9395579,-93.2740382
33297478,44.939552,-93.271477
33297482,44.8923934,-93.2542973
33297483,44.937748,-93.272751
33297485,44.893342,-93.2530184
33297497,44.867317,-93.251678
33297498,44.8641932,-93.2947181
