,latitude,longitude,MeanElevation
1832746163,44.7925143,-93.4974902,228.30063
540421540,44.9743509,-93.4974378,293.83191
538452673,44.9746296,-93.4973991,295.07681
1139357132,44.7804985,-93.4973725,243.75601
188040301,44.7723669,-93.497348,256.45248
188038571,44.7807481,-93.4973389,243.09264
188053460,44.7754287,-93.497327,249.7188
469234455,44.7758721,-93.4973092,248.43878
188048752,44.7730534,-93.4972852,253.42349
34381089,44.925758,-93.497261,281.9411
33749984,44.941944,-93.497246,290.35733
33299598,44.887375,-93.497215,276.33978
33320573,44.913162,-93.497169,274.80392
188053456,44.7745356,-93.497118,249.46301
34386690,44.866333,-93.497108,272.49643
6760830205,44.9618939,-93.4970103,283.89999
34385108,44.8707909,-93.4970066,271.16019
6760830203,44.9615514,-93.4969872,284.03998
7988525265,44.7737893,-93.4969861,250.578
188039684,44.7736735,-93.4969852,250.558
6760830224,44.9607412,-93.496981,283.7435
1044299478,44.9612407,-93.496979,284.00351
8296824128,44.9612517,-93.4969788,284.00351
33353350,44.847027,-93.496971,270.36887
33299664,44.888111,-93.496971,275.66
34395893,44.865562,-93.496864,273.82919
34395728,44.8667334,-93.4968483,272.13516
33631688,44.8344587,-93.4968432,271.71921
33756553,44.8491732,-93.4968375,267.396
1832746164,44.7925714,-93.4967718,229.03113
34370219,44.898861,-93.496719,274.17114
33352585,44.8444028,-93.4967114,273.1925
7100119591,44.9410177,-93.4966993,286.89072
34186353,44.918819,-93.496696,272.49606
33524678,44.895676,-93.496681,276.96762
1044299389,44.9661887,-93.4966484,287.37399
538453317,44.9738828,-93.4965751,296.52011
7100119593,44.9419342,-93.4965732,289.0473
34642170,44.8372861,-93.4965644,274.10822
34395633,44.866184,-93.496529,272.73584
33329916,45.000271,-93.496513,298.29379
33747916,44.910149,-93.496498,288.20435
33799747,44.999191,-93.496498,298.97607
33382883,44.898235,-93.49646,270.85107
33494680,44.843129,-93.496459,273.53006
33327847,44.8377525,-93.4964525,273.565
6760814334,44.96428,-93.4964443,293.10208
34657733,44.9935734,-93.4963983,295.06042
1314307359,44.9951788,-93.4963889,296.23514
33523282,44.9952779,-93.4963782,296.21515
188058251,44.7710555,-93.4963517,257.91858
33382751,44.898731,-93.49633,273.51114
34541705,44.90004,-93.496323,274.53937
33353366,44.842461,-93.496315,273.15024
33840206,44.925724,-93.496307,282.52872
469208365,44.7660345,-93.4963004,255.43964
33299769,44.835991,-93.4963,269.98981
33379553,44.9490961,-93.4962976,286.7583
34396847,44.841579,-93.496277,273.42813
188046145,44.7694743,-93.4962706,257.24664
34535718,44.8406881,-93.4962645,274.76535
33730512,44.941929,-93.496262,287.9873
33381150,44.946918,-93.496254,292.35001
34562913,44.836758,-93.496231,275.009
34646665,44.936855,-93.496231,282.87924
33327841,44.8390851,-93.496225,273.1908
34183419,44.87458,-93.496208,281.64105
34647153,44.831432,-93.4961918,261.146
33840179,44.926197,-93.496178,281.59726
33729577,44.945385,-93.4961576,292.36621
34395759,44.945908,-93.496147,293.67407
33299760,44.8345694,-93.4961254,269.1792
6760830202,44.9659845,-93.4961207,288.35397
33299721,44.8332854,-93.4961124,262.6611
188037577,44.7825317,-93.4960638,243.55624
